sclass	DAF_1	MAF_1	DDAF_1	FST_1	ThetaPi_1	ThetaS_1	ThetaH_1	ThetaL_1	ThetaXi_1	TajD_1	FuLiF_1	FuLiD_1	FayWuH_1	ZengE_1	Theta1Pi_1	Theta1S_1	Theta1H_1	Theta1L_1	Theta1Xi_1	TajD1_1	FuLiF1_1	FuLiD1_1	FayWuH1_1	ZengE1_1	ZA_1	H1_1	H2_1	H12_1	H2.H1_1	iHH1_1	iHH0_1	SL1_1	SL0_1	iHS_1	DiHH_1	nSL_1	DnSL_1	XPEHH_12	XPEHH_13	DXPEHH_12	DXPEHH_13
hs	0	0	0	NA	3.175641	7.993336	0.362821	1.769231	20	-4.817695	-16.824359	-12.006664	2.812821	-6.224106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.093405	0.0725	0.041875	0.11625	0.577586	NA	NA	NA	NA	NA	NA	NA	NA	0.0174347657759	-0.178024956053	0.0007041	0.0077876
hs	0.975	0.025	0.1375	0.041779	4.461538	10.344318	20.974359	12.717949	21	-5.882779	-16.538462	-10.655682	-16.512821	2.373631	3.77058	8.514861	15.91363	9.842105	16	-4.744281	-12.22942	-7.485139	-12.14305	1.327244	0.197895	0.13	0.04	0.19	0.307692	NA	NA	NA	NA	NA	NA	NA	NA	0.588756737663	0.581178213325	0.0163105	0.0165154
hs	0.975	0.025	0.9625	0.926875	1.139744	4.466864	3.937179	2.538462	13	-3.327121	-11.860256	-8.533136	-2.797436	-1.928403	0.809717	2.838287	0.032389	0.421053	8	-2.028571	-7.190283	-5.161713	0.777328	-2.417235	0.112044	0.435	0.0125	0.5	0.028736	NA	NA	NA	NA	NA	NA	NA	NA	2.06630734255	1.98726267338	0.0713365	0.0687397
hs	0	0	0	NA	1.74359	4.937061	0.102564	0.923077	11	-3.193471	-9.25641	-6.062939	1.641026	-4.013984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.026681	0.2275	0.025	0.3175	0.10989	NA	NA	NA	NA	NA	NA	NA	NA	-0.268807214322	-0.374583308292	0.0204258	0.0307881
hs	0	0	0	NA	2.805128	7.52314	3.65641	3.230769	16	-4.718012	-13.194872	-8.47686	-0.851282	-4.292371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.173104	0.16375	0.023125	0.20125	0.141221	NA	NA	NA	NA	NA	NA	NA	NA	-0.186651093566	-0.120379313634	0.0091759	0.0057202
hs	0.075	0.075	0.075	0.051282	10.492308	13.400593	4.584615	7.538462	21	-2.908286	-10.507692	-7.599407	5.907692	-5.862132	0	0	0	0	0	0	0	0	0	0	0.084247	0.04125	0.035625	0.0525	0.863636	0.249097	0.00997914	200	19.9369	3.21734546457	0.23911786	2.3057450805	180.0631	-1.01718118665	-1.17697763166	0.01636397	0.02121087
hs	0.975	0.025	0.95	0.893486	1.874359	7.52314	9.612821	5.74359	25	-5.648781	-23.125641	-17.47686	-7.738462	-1.77955	0.952767	3.311335	1.889339	1.421053	11	-2.358568	-10.047233	-7.688665	-0.936572	-1.890282	0.365828	0.37375	0.01375	0.46375	0.036789	NA	NA	NA	NA	NA	NA	NA	NA	2.0335669548	1.85143640089	0.06481179	0.062448
hs	1	0	0.975	0.930403	2.019231	7.52314	19.570513	10.794872	16	-5.503909	-13.980769	-8.47686	-17.551282	3.271732	2.019231	7.52314	19.570513	10.794872	16	-5.503909	-13.980769	-8.47686	-17.551282	3.271732	0.430306	0.34625	0.015625	0.40375	0.045126	NA	NA	NA	NA	NA	NA	NA	NA	1.73093978261	1.41316229995	0.0475156	0.0425432
hs	1	0	0.975	0.930403	1.032051	3.526472	3.942308	2.487179	8	-2.494421	-6.967949	-4.473528	-2.910256	-1.039292	1.032051	3.526472	3.942308	2.487179	8	-2.494421	-6.967949	-4.473528	-2.910256	-1.039292	0.144074	0.35	0.019375	0.43625	0.055357	NA	NA	NA	NA	NA	NA	NA	NA	1.63640992751	1.61817383278	0.0567567	0.0565042
hs	0.05	0.05	0.05	0.033898	18.220513	19.278046	11.625641	14.923077	26	-1.057534	-7.779487	-6.721954	6.594872	-4.354969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.109171	0.0425	0.0325	0.0575	0.764706	0.0102411	0.00617302	44	26.0263	0.506220852395	0.00406808	0.525082068696	17.9737	-0.515380231483	-0.711445014536	0.00367639	0.00575117
