sclass	DAF_1	MAF_1	DDAF_1	FST_1	ThetaPi_1	ThetaS_1	ThetaH_1	ThetaL_1	ThetaXi_1	TajD_1	FuLiF_1	FuLiD_1	FayWuH_1	ZengE_1	Theta1Pi_1	Theta1S_1	Theta1H_1	Theta1L_1	Theta1Xi_1	TajD1_1	FuLiF1_1	FuLiD1_1	FayWuH1_1	ZengE1_1	ZA_1	H1_1	H2_1	H12_1	H2.H1_1	iHH1_1	iHH0_1	SL1_1	SL0_1	iHS_1	DiHH_1	nSL_1	DnSL_1	XPEHH_12	XPEHH_13	DXPEHH_12	DXPEHH_13
sl	0	0	-0.0125	0.016807	13.1218	16.92706	13.08333	13.10256	18	-3.80527	-4.878205	-1.072935	0.038462	-3.824501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.111521	0.04	0.03	0.05	0.75	NA	NA	NA	NA	NA	NA	NA	NA	-0.06704563	-0.4107689	0.0010076	0.0074603
sl	0.275	0.275	0.275	0.201835	11.86667	16.92706	14.59487	13.23077	25	-5.060398	-13.13333	-8.072935	-2.728205	-3.696296	5.636364	5.121257	6.963636	6.3	3	0.515106	2.636364	2.121257	-1.327273	1.178743	0.103171	0.0475	0.0375	0.0625	0.789474	0.0250157	0.0192561	47.5364	42.1687	0.2616757	0.0057596	0.1198175	5.3677	-0.3154327	-0.4953155	0.0038816	0.0067065
sl	0.75	0.25	-0.1125	0.020202	15.30513	20.92373	11.15641	13.23077	30	-5.618605	-14.69487	-9.076267	4.148718	-7.692964	9.845977	16.15487	11.05058	10.44828	28	-6.308892	-18.15402	-11.84513	-1.204598	-5.706594	0.12998	0.0375	0.031875	0.045	0.85	0.00894645	0.0125698	31.1368	37.9333	-0.3400403	0.00362335	-0.197439	6.7965	-0.8767463	-0.8013539	0.0083049	0.0069266
sl	0.025	0.025	0.025	0.016807	14.92436	19.98334	10.76795	12.84615	27	-5.058982	-12.07564	-7.016659	4.15641	-7.137187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.134396	0.03625	0.030625	0.04375	0.844828	NA	NA	NA	NA	NA	NA	NA	NA	-0.5743446	-0.5544106	0.00591301	0.00559701
sl	0	0	-0.05	0.068966	15.2	20.21844	10.95385	13.07692	28	-5.018439	-12.8	-7.781561	4.246154	-7.141516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.132131	0.03625	0.030625	0.04375	0.844828	NA	NA	NA	NA	NA	NA	NA	NA	-0.512666	-0.4492135	0.00542821	0.0045596
sl	0.05	0.05	0.05	0.033898	14.56923	18.33765	8.815385	11.69231	23	-3.768423	-8.430769	-4.662346	5.753846	-6.645346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.135067	0.03625	0.030625	0.04375	0.844828	0.0696382	0.013772	105.5	32.34	1.620676	0.0558662	1.182406	73.16	-0.3395457	-0.35012	0.00513	0.0053156
sl	0	0	-0.0125	0.016807	15.12692	18.57275	9.026923	12.07692	23	-3.445829	-7.873077	-4.427248	6.1	-6.495829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.134841	0.03375	0.03125	0.03875	0.925926	NA	NA	NA	NA	NA	NA	NA	NA	-0.2709908	-0.3230971	0.0040575	0.0049683
sl	0.175	0.175	0.1125	0.032407	11.13462	15.98667	5.839744	8.487179	23	-4.852057	-11.86538	-7.013327	5.294872	-7.499493	5.238095	6.122449	12.76191	9	5	-0.884354	0.238095	1.122449	-7.52381	2.877551	0.081871	0.03375	0.03125	0.03875	0.925926	0.0380793	0.01171	66.5476	28.392	1.179228	0.0263693	0.8518101	38.1556	-0.6552945	-0.6910658	0.00759105	0.00816615
sl	0	0	-0.0125	0.016807	10.75	15.75157	4.685897	7.717949	23	-5.001574	-12.25	-7.248426	6.064103	-8.033626	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.08255	0.03375	0.03125	0.03875	0.925926	NA	NA	NA	NA	NA	NA	NA	NA	-0.5475281	-0.5045835	0.00703481	0.00626373
sl	0	0	-0.0125	0.016807	9.230769	13.63569	4.410256	6.820513	23	-4.404922	-13.76923	-9.364309	4.820513	-6.815179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.079232	0.04	0.034375	0.05125	0.859375	NA	NA	NA	NA	NA	NA	NA	NA	-0.2615454	-0.4027961	0.0043627	0.0071148
sl	1	0	0.425	0.205882	8.598718	13.16549	4.170513	6.384615	22	-4.566777	-13.40128	-8.834505	4.428205	-6.78088	8.598718	13.16549	4.170513	6.384615	22	-4.566777	-13.40128	-8.834505	4.428205	-6.78088	0.113489	0.035	0.029375	0.04625	0.839286	NA	NA	NA	NA	NA	NA	NA	NA	0.1908142	0.1522192	0.0027834	0.002191
sl	0	0	-0.425	0.205882	7.278205	12.2251	3.644872	5.461538	22	-4.946897	-14.7218	-9.774897	3.633333	-6.763564	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.115856	0.0425	0.0325	0.0575	0.764706	NA	NA	NA	NA	NA	NA	NA	NA	0.07135884	-0.01708225	0.0008789	0.0002086
sl	0.375	0.375	0.375	0.285714	8.129487	12.4602	4.844872	6.487179	22	-4.330714	-13.87051	-9.539799	3.284615	-5.973021	4.266667	4.613167	5.733333	5	4	-0.3465	0.266667	0.613167	-1.466667	0.386833	0.133024	0.0475	0.031875	0.06625	0.671053	0.0397463	0.0182523	74.2048	38.71	0.7782257	0.021494	0.6507309	35.4948	-0.5355327	-0.606228	0.0078955	0.0090425
sl	0.075	0.075	0.075	0.051282	10.53846	13.40059	7.205128	8.871795	19	-2.862132	-8.461538	-5.599407	3.333333	-4.528798	10	10	9	9.5	11	0	-1	-1	1	-0.5	0.130616	0.045	0.029375	0.06375	0.652778	0.0158806	0.0201068	27.3333	40.8018	-0.2359598	0.0042262	-0.4006205	13.4685	0.1105819	0.2176147	0.0016993	0.0032073
sl	0	0	-0.0125	0.016807	10.76923	13.40059	7.282051	9.025641	19	-2.631362	-8.230769	-5.599407	3.487179	-4.374952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.122654	0.0375	0.031875	0.04875	0.85	NA	NA	NA	NA	NA	NA	NA	NA	-0.07114981	-0.03449891	0.0011377	0.0005371
sl	0	0	-0.0125	0.016807	11.03974	13.63569	7.370513	9.205128	19	-2.595948	-7.960256	-5.364309	3.669231	-4.430563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.120843	0.04125	0.03125	0.05625	0.757576	NA	NA	NA	NA	NA	NA	NA	NA	-0.06654986	-0.0283622	0.0010589	0.0004402
sl	0.3	0.3	0.1875	0.054834	19.28333	20.92373	13.69103	16.48718	28	-1.6404	-8.716667	-7.076267	5.592308	-4.436554	15.37879	15.23241	16.07576	15.72727	14	0.146381	1.378788	1.232407	-0.69697	0.494866	0.121512	0.04625	0.03625	0.06125	0.783784	0.0279344	0.00900135	52.0076	25.414	1.132484	0.01893305	0.7160897	26.5936	-0.5893375	-0.6667412	0.00378742	0.00456038
sl	0.05	0.05	-0.05	0.012727	19.18077	20.92373	13.58846	16.38462	28	-1.742964	-8.819231	-7.076267	5.592308	-4.539118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.117836	0.04875	0.03875	0.06875	0.794872	0.0599129	0.00629578	154	18.8663	2.253012	0.05361712	2.099575	135.1337	-0.3527709	-0.3314371	0.00207624	0.0020573
sl	0.025	0.025	0.025	0.016807	18.28077	20.45354	13.15513	15.71795	26	-2.172768	-7.719231	-5.546463	5.125641	-4.735588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.119661	0.045	0.035	0.06	0.777778	NA	NA	NA	NA	NA	NA	NA	NA	-0.1328867	-0.015382	0.0014471	0.0001624
sl	0	0	-0.0125	0.016807	15.23718	17.16216	12.60897	13.92308	16	-1.924984	-0.762821	1.162163	2.628205	-3.239086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.161233	0.04625	0.03625	0.06125	0.783784	NA	NA	NA	NA	NA	NA	NA	NA	-0.2482486	-0.1356555	0.00253262	0.00130349
sl	0	0	-0.0125	0.016807	21.06282	20.21844	14.8859	17.97436	14	0.844382	7.062821	6.218439	6.176923	-2.24408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.148367	0.04125	0.035625	0.0525	0.863636	NA	NA	NA	NA	NA	NA	NA	NA	0.04197564	0.001229515	0.00040286	1.177e-05
sl	0	0	-0.0125	0.016807	20.21026	20.68864	15.17436	17.69231	18	-0.478379	2.210256	2.688635	5.035897	-2.996327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.127709	0.04375	0.038125	0.055	0.871429	NA	NA	NA	NA	NA	NA	NA	NA	-0.2149921	-0.5089898	0.001389	0.00364203
sl	0.025	0.025	0.025	0.016807	23.49487	21.39393	21.7359	22.61538	17	2.100942	6.494872	4.39393	1.758974	1.221455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.145778	0.0725	0.05	0.11	0.689655	NA	NA	NA	NA	NA	NA	NA	NA	0.143873	0.1200214	0.0015933	0.0013531
