sclass	DAF_1	MAF_1	DDAF_1	FST_1	ThetaPi_1	ThetaS_1	ThetaH_1	ThetaL_1	ThetaXi_1	TajD_1	FuLiF_1	FuLiD_1	FayWuH_1	ZengE_1	Theta1Pi_1	Theta1S_1	Theta1H_1	Theta1L_1	Theta1Xi_1	TajD1_1	FuLiF1_1	FuLiD1_1	FayWuH1_1	ZengE1_1	ZA_1	H1_1	H2_1	H12_1	H2.H1_1	iHH1_1	iHH0_1	SL1_1	SL0_1	iHS_1	DiHH_1	nSL_1	DnSL_1	XPEHH_12	XPEHH_13	DXPEHH_12	DXPEHH_13
ss	0.7	0.3	0.7	0.608696	12.44872	16.45687	11.24359	11.84615	30	-4.008151	-17.55128	-13.54313	1.205128	-4.610715	9.15873	11.30682	10.54497	9.851852	19	-2.14809	-9.84127	-7.69318	-1.386243	-1.454968	0.098445	0.08625	0.035625	0.13125	0.413043	0.0325991	0.0360539	60.5489	40.8712	-0.1007304	0.0034548	0.3930256	19.6777	0.02344311	-0.0617179	0.00022866	0.0006799
ss	0.025	0.025	0.025	0.016807	14.91282	14.34099	16.26667	15.58974	13	0.571835	1.912821	1.340986	-1.353846	1.248758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.144791	0.06625	0.050625	0.09125	0.764151	NA	NA	NA	NA	NA	NA	NA	NA	-0.148575	-0.1712011	0.00123519	0.00166847
ss	1	0	0	NA	12.00256	15.28138	10.35641	11.17949	20	-3.278814	-7.997436	-4.718622	1.646154	-4.101891	12.00256	15.28138	10.35641	11.17949	20	-3.278814	-7.997436	-4.718622	1.646154	-4.101891	0.150547	0.045	0.035	0.06	0.777778	NA	NA	NA	NA	NA	NA	NA	NA	-0.450839	-0.2777032	0.0063742	0.0035034
ss	1	0	0	NA	14.65769	17.63236	15.03462	14.84615	24	-2.974667	-9.342308	-6.367641	-0.376923	-2.786206	14.65769	17.63236	15.03462	14.84615	24	-2.974667	-9.342308	-6.367641	-0.376923	-2.786206	0.154226	0.0425	0.0325	0.0575	0.764706	NA	NA	NA	NA	NA	NA	NA	NA	-0.2029794	0.0133308	0.0025731	0.0001498
ss	0.825	0.175	0.825	0.758621	8.016667	13.63569	19.2141	13.61538	21	-5.619025	-12.98333	-7.364309	-11.19744	-0.020307	6.458333	8.377489	3.041667	4.75	14	-1.919156	-7.541667	-5.622511	3.416667	-3.627489	0.093417	0.07375	0.03375	0.11375	0.457627	0.0239814	0.00454734	46.8248	19.9524	1.662736	0.01943406	0.8530635	26.8724	-0.08608482	-0.2724642	0.00083593	0.00287759
ss	0.725	0.275	0.725	0.637363	17.57436	18.80785	20.37436	18.97436	27	-1.233491	-9.425641	-8.19215	-2.8	0.166509	10.08867	15.27817	29.05419	19.57143	22	-5.189503	-11.91133	-6.721827	-18.96552	4.293255	0.239596	0.0825	0.031875	0.1275	0.386364	0.0326008	0.0130694	73.2968	33.4	0.9140632	0.0195314	0.7859611	39.8968	0.3750705	0.2774661	0.00427204	0.0032123
ss	0	0	0	NA	8.580769	9.168827	7.470513	8.025641	10	-0.588058	-1.419231	-0.831173	1.110256	-1.143186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.104499	0.065	0.049375	0.09	0.759615	NA	NA	NA	NA	NA	NA	NA	NA	-0.1660542	-0.3460575	0.0016921	0.00394837
ss	1	0	0.9375	0.837333	9.523077	15.28138	15.4	12.46154	18	-5.758301	-8.476923	-2.718622	-5.876923	-2.81984	9.523077	15.28138	15.4	12.46154	18	-5.758301	-8.476923	-2.718622	-5.876923	-2.81984	0.084904	0.06	0.044375	0.085	0.739583	NA	NA	NA	NA	NA	NA	NA	NA	-0.03897117	-0.3284733	0.0004919	0.0049567
ss	1	0	1	1	11.21538	12.4602	15.45128	13.33333	16	-1.244816	-4.784615	-3.539799	-4.235897	0.873133	11.21538	12.4602	15.45128	13.33333	16	-1.244816	-4.784615	-3.539799	-4.235897	0.873133	0.274627	0.10625	0.06625	0.18625	0.623529	NA	NA	NA	NA	NA	NA	NA	NA	-0.1910902	0.2250018	0.0031408	0.0026725
ss	1	0	0	NA	9.007692	9.639023	7.915385	8.461538	14	-0.631331	-4.992308	-4.360977	1.092308	-1.177485	9.007692	9.639023	7.915385	8.461538	14	-0.631331	-4.992308	-4.360977	1.092308	-1.177485	0.303695	0.08125	0.05875	0.11875	0.723077	NA	NA	NA	NA	NA	NA	NA	NA	-0.00489217	-0.01471859	6.68e-05	0.0002079
