sclass	DAF_1	MAF_1	DDAF_1	FST_1	ThetaPi_1	ThetaS_1	ThetaH_1	ThetaL_1	ThetaXi_1	TajD_1	FuLiF_1	FuLiD_1	FayWuH_1	ZengE_1	Theta1Pi_1	Theta1S_1	Theta1H_1	Theta1L_1	Theta1Xi_1	TajD1_1	FuLiF1_1	FuLiD1_1	FayWuH1_1	ZengE1_1	ZA_1	H1_1	H2_1	H12_1	H2.H1_1	iHH1_1	iHH0_1	SL1_1	SL0_1	iHS_1	DiHH_1	nSL_1	DnSL_1	XPEHH_12	XPEHH_13	DXPEHH_12	DXPEHH_13
ne	0	0	-0.0125	0.016807	13.158974	16.927065	6.225641	9.692308	28	-3.768091	-14.841026	-11.072935	6.933333	-7.234757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05731	0.06	0.0375	0.0825	0.625	NA	NA	NA	NA	NA	NA	NA	NA	-0.241655038096	-0.201689185215	0.00199806	0.0016583
ne	0	0	-0.0125	0.016807	14.024359	17.632359	8.180769	11.102564	29	-3.608001	-14.975641	-11.367641	5.84359	-6.529795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.051571	0.06	0.0375	0.0825	0.625	NA	NA	NA	NA	NA	NA	NA	NA	-0.157337873275	-0.149460870975	0.00121499	0.00114951
ne	0	0	-0.0625	0.086957	13.803846	17.162163	8.503846	11.153846	23	-3.358317	-9.196154	-5.837837	5.3	-6.008317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.057836	0.055	0.0325	0.07	0.590909	NA	NA	NA	NA	NA	NA	NA	NA	-0.191641927579	0.0619892230236	0.00147232	0.00040744
ne	0	0	-0.0125	0.016807	17.467949	23.509813	8.634615	13.051282	32	-6.041864	-14.532051	-8.490187	8.833333	-10.458531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.128391	0.04375	0.03375	0.05875	0.771429	NA	NA	NA	NA	NA	NA	NA	NA	-0.317397710854	-0.463401747554	0.00175544	0.00280318
ne	0.05	0.05	0.05	0.033898	20.926923	24.215107	11.329487	16.128205	30	-3.288184	-9.073077	-5.784893	9.597436	-8.086902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.151301	0.0375	0.0275	0.0475	0.733333	0.0187513	0.00535298	88	24.1088	1.25360966816	0.01339832	1.2947598954	63.8912	-0.423711103637	-0.413084102634	0.00262853	0.00255354
ne	0	0	-0.0125	0.016807	20.755128	24.920401	11.603846	16.179487	30	-4.165273	-9.244872	-5.079599	9.151282	-8.740914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.119123	0.03625	0.02625	0.04625	0.724138	NA	NA	NA	NA	NA	NA	NA	NA	-0.557422422179	-0.482348676874	0.0038552	0.00320852
ne	0	0	-0.025	0.033898	19.635897	22.334322	11.441026	15.538462	23	-2.698425	-3.364103	-0.665678	8.194872	-6.79586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.151726	0.0375	0.0275	0.0475	0.733333	NA	NA	NA	NA	NA	NA	NA	NA	-0.732674358741	-0.576587940403	0.00379883	0.00269901
ne	0	0	-0.0125	0.016807	21.524359	25.390598	16.270513	18.897436	32	-3.866239	-10.475641	-6.609402	5.253846	-6.493162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.196171	0.0375	0.0275	0.0475	0.733333	NA	NA	NA	NA	NA	NA	NA	NA	-0.597946288631	-0.321554977172	0.00444032	0.00201243
ne	0.025	0.025	0.025	0.016807	17.785897	23.039616	14.573077	16.179487	34	-5.253719	-16.214103	-10.960384	3.212821	-6.860129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17526	0.0375	0.0275	0.0475	0.733333	NA	NA	NA	NA	NA	NA	NA	NA	-0.646797115472	-0.419161612285	0.00579394	0.00318864
ne	0.025	0.025	-0.2625	0.096354	18.384615	23.980009	14.538462	16.461538	36	-5.595394	-17.615385	-12.019991	3.846154	-7.51847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.190604	0.0325	0.026875	0.04	0.826923	NA	NA	NA	NA	NA	NA	NA	NA	-0.815749276	-0.576284013107	0.00641887	0.00384502
