sclass	DAF_1	MAF_1	DDAF_1	FST_1	ThetaPi_1	ThetaS_1	ThetaH_1	ThetaL_1	ThetaXi_1	TajD_1	FuLiF_1	FuLiD_1	FayWuH_1	ZengE_1	Theta1Pi_1	Theta1S_1	Theta1H_1	Theta1L_1	Theta1Xi_1	TajD1_1	FuLiF1_1	FuLiD1_1	FayWuH1_1	ZengE1_1	ZA_1	H1_1	H2_1	H12_1	H2.H1_1	iHH1_1	iHH0_1	SL1_1	SL0_1	iHS_1	DiHH_1	nSL_1	DnSL_1	XPEHH_12	XPEHH_13	DXPEHH_12	DXPEHH_13
hl	0.925	0.075	0.225	0.066906	2.944872	8.463533	21.20897	12.07692	22	-5.518661	-19.05513	-13.53647	-18.2641	3.613391	1.024024	4.311832	13.64264	7.333333	10	-3.287808	-8.975976	-5.688168	-12.61862	3.021501	0.275369	0.4975	0.0075	0.5325	0.015075	NA	NA	130.004	12	NA	NA	2.382659	118.004	1.875953	1.540759	0.05287982	0.0480085
hl	0	0	-0.075	0.026316	3.569231	9.639023	20.84103	12.20513	23	-6.069792	-19.43077	-13.36098	-17.2718	2.566105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.294529	0.4025	0.011875	0.465	0.029503	NA	NA	NA	NA	NA	NA	NA	NA	1.409658	1.449699	0.0493804	0.047216
hl	0.025	0.025	-0.0625	0.029018	3.569231	9.639023	20.84103	12.20513	23	-6.069792	-19.43077	-13.36098	-17.2718	2.566105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.294529	0.4025	0.011875	0.465	0.029503	NA	NA	NA	NA	NA	NA	NA	NA	1.447015	1.48909	0.0496747	0.0474806
hl	0	0	-0.075	0.026316	3.569231	9.639023	20.84103	12.20513	23	-6.069792	-19.43077	-13.36098	-17.2718	2.566105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.294529	0.4025	0.011875	0.465	0.029503	NA	NA	NA	NA	NA	NA	NA	NA	1.501626	1.535257	0.0505208	0.0481388
hl	0	0	-0.0125	0.016807	3.292308	9.168827	15.68205	9.487179	21	-5.876519	-17.70769	-11.83117	-12.38974	0.318353	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.229507	0.3175	0.015	0.3725	0.047244	NA	NA	NA	NA	NA	NA	NA	NA	1.023491	0.9793748	0.0407095	0.0386988
hl	0	0	-0.0125	0.016807	2.461538	8.698631	3.794872	3.128205	25	-6.237092	-22.53846	-16.30137	-1.333333	-5.570426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.118772	0.3175	0.015	0.3725	0.047244	NA	NA	NA	NA	NA	NA	NA	NA	0.833075	0.8874059	0.0288595	0.0300331
hl	0	0	-0.1375	0.081735	2.451282	8.463533	5.446154	3.948718	25	-6.012251	-22.54872	-16.53647	-2.994872	-4.514815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.096314	0.31875	0.01625	0.37375	0.05098	NA	NA	NA	NA	NA	NA	NA	NA	1.0574	1.228119	0.0315625	0.0341989
hl	0	0	-0.025	0.033898	2.396154	8.228434	7.19359	4.794872	25	-5.832281	-22.60385	-16.77157	-4.797436	-3.433563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.093994	0.3475	0.016875	0.43375	0.048561	NA	NA	NA	NA	NA	NA	NA	NA	1.04764	0.9794763	0.0381727	0.0367179
hl	0	0	-0.0125	0.016807	2.135897	6.817846	8.838462	5.487179	20	-4.681948	-17.8641	-13.18215	-6.702564	-1.330666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.096165	0.43375	0.01125	0.49875	0.025937	NA	NA	NA	NA	NA	NA	NA	NA	0.8452158	0.6721198	0.0311967	0.0263318
hl	0	0	-0.0125	0.016807	2.017949	5.407257	8.546154	5.282051	13	-3.389308	-10.98205	-7.592743	-6.528205	-0.125206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.143782	0.53375	0.008125	0.60625	0.015222	NA	NA	NA	NA	NA	NA	NA	NA	1.052091	0.8445883	0.0360667	0.0316039
